,User,Tweet_time,Tweet,Hashtag,Retweet,Favorite,Join_time,Follower,Friend
810,EPDelhiNCR,2022-09-13 08:34:42+00:00,"Pre-booking starts! Book your Iphone 14pro and pro max today at EP store. #PreBookNow

#iphone14 #iphone14pro #iphone14promax #prebooking #prebook #appleiphone #epstore #newdelhi #delhincr https://t.co/Cv7a7VYYcH","[{'text': 'PreBookNow', 'indices': [74, 85]}, {'text': 'iphone14', 'indices': [87, 96]}, {'text': 'iphone14pro', 'indices': [97, 109]}, {'text': 'iphone14promax', 'indices': [110, 125]}, {'text': 'prebooking', 'indices': [126, 137]}, {'text': 'prebook', 'indices': [138, 146]}, {'text': 'appleiphone', 'indices': [147, 159]}, {'text': 'epstore', 'indices': [160, 168]}, {'text': 'newdelhi', 'indices': [169, 178]}, {'text': 'delhincr', 'indices': [179, 188]}]",0,0,2019-11-15 06:01:48+00:00,280,22
811,RevenesNigeria,2022-09-13 08:30:27+00:00,"A Short Thread. 

5 Questions most people ask about the ""new"" eSIM. And how this might affect people using iPhone 14 imported from USA. 

#iPhone14 #iPhone14Pro #eSIM #iPhones #UKUsed #PreOwned #revenes iPhone 6 iOS 16 Akure #30BG Kidney https://t.co/L2Ta4bPiPN","[{'text': 'iPhone14', 'indices': [138, 147]}, {'text': 'iPhone14Pro', 'indices': [148, 160]}, {'text': 'eSIM', 'indices': [161, 166]}, {'text': 'iPhones', 'indices': [167, 175]}, {'text': 'UKUsed', 'indices': [176, 183]}, {'text': 'PreOwned', 'indices': [184, 193]}, {'text': 'revenes', 'indices': [194, 202]}, {'text': '30BG', 'indices': [225, 230]}]",1,6,2020-12-06 08:44:41+00:00,294,65
812,Goospery_US,2022-09-13 08:19:37+00:00,"See what's inside of your new iPhone 14 Pro💣💣

#iphone14pro #DynamicIsland #AppleEvent #phonecase 

White - https://t.co/qKS3VCVxWW 
Black - https://t.co/r0qBnYAM0I 
Purple - https://t.co/y7wlMsXHX2 
Green - https://t.co/mzaHL9mQhh 
Lime - https://t.co/QQQM8bWztr https://t.co/YCdwaglSPR","[{'text': 'iphone14pro', 'indices': [47, 59]}, {'text': 'DynamicIsland', 'indices': [60, 74]}, {'text': 'AppleEvent', 'indices': [75, 86]}, {'text': 'phonecase', 'indices': [87, 97]}]",0,0,2022-01-04 00:15:59+00:00,15,6
813,Goospery_US,2022-09-13 08:19:26+00:00,"Always keep your cards and iPhone 14 Pro 

#iphone14pro #DynamicIsland #phonecase #AppleEvent 

Navy - https://t.co/fFyJtE75Wq 
Pink - https://t.co/BkESBwK12o 
Mint - https://t.co/NOKmL6rLqn 
Purple - https://t.co/XQ4SwHORt6 https://t.co/CIYnnD3iih","[{'text': 'iphone14pro', 'indices': [43, 55]}, {'text': 'DynamicIsland', 'indices': [56, 70]}, {'text': 'phonecase', 'indices': [71, 81]}, {'text': 'AppleEvent', 'indices': [82, 93]}]",0,0,2022-01-04 00:15:59+00:00,15,6
814,Goospery_US,2022-09-13 08:17:52+00:00,"iPhone 14 Pro Case: 
Imagine yourself carrying thousand cards but using one or two only.
Another way to hate yourself.

https://t.co/ge4nJwGuka  

#iphone14pro #iphone14procase #14procase #goosperycase #14phonecase #appleiphonecase https://t.co/6fsbJdj15o","[{'text': 'iphone14pro', 'indices': [147, 159]}, {'text': 'iphone14procase', 'indices': [160, 176]}, {'text': '14procase', 'indices': [177, 187]}, {'text': 'goosperycase', 'indices': [188, 201]}, {'text': '14phonecase', 'indices': [202, 214]}, {'text': 'appleiphonecase', 'indices': [215, 231]}]",0,0,2022-01-04 00:15:59+00:00,15,6
815,Goospery_US,2022-09-13 08:17:44+00:00,"There's a REASON why we use 'BUMPER' case.
2 Card Storage + Secure Magnetic Closure

https://t.co/tLF00VWYxp 

#iphone14pro #iphone14procase #14procase #goosperycase #14phonecase #appleiphonecase https://t.co/3d70ytxMxX","[{'text': 'iphone14pro', 'indices': [111, 123]}, {'text': 'iphone14procase', 'indices': [124, 140]}, {'text': '14procase', 'indices': [141, 151]}, {'text': 'goosperycase', 'indices': [152, 165]}, {'text': '14phonecase', 'indices': [166, 178]}, {'text': 'appleiphonecase', 'indices': [179, 195]}]",0,0,2022-01-04 00:15:59+00:00,15,6
816,Goospery_US,2022-09-13 08:17:39+00:00,"Have your wallet with your phone!
Launching Promotion Available!

https://t.co/jLFTKCcjrC 

#iphone14pro #iphone14procase #14procase #goosperycase #14phonecase #appleiphonecase https://t.co/V4jJbPtnNi","[{'text': 'iphone14pro', 'indices': [92, 104]}, {'text': 'iphone14procase', 'indices': [105, 121]}, {'text': '14procase', 'indices': [122, 132]}, {'text': 'goosperycase', 'indices': [133, 146]}, {'text': '14phonecase', 'indices': [147, 159]}, {'text': 'appleiphonecase', 'indices': [160, 176]}]",0,0,2022-01-04 00:15:59+00:00,15,6
817,Blaqatomcomedy,2022-09-13 08:17:24+00:00,"New Vibes Out😁🙌 Morning dose😮‍💨😎😅 

Kidney Tinubu Muslim Muslim APC Lagos Red line Blue line Purple iPhone 14 #GoHomeMeghanMarkle #Ukraine #BATSHET2023 #ChampionsLeague #mrpricehome #iPhone14 #iPhone14Pro https://t.co/CMqapNG1sZ","[{'text': 'GoHomeMeghanMarkle', 'indices': [110, 129]}, {'text': 'Ukraine', 'indices': [130, 138]}, {'text': 'BATSHET2023', 'indices': [139, 151]}, {'text': 'ChampionsLeague', 'indices': [152, 168]}, {'text': 'mrpricehome', 'indices': [169, 181]}, {'text': 'iPhone14', 'indices': [182, 191]}, {'text': 'iPhone14Pro', 'indices': [192, 204]}]",0,0,2019-01-31 15:37:51+00:00,1208,2404
818,YnCreator,2022-09-13 08:09:17+00:00,"Magsoge Transparent Clear Acrylic Magnetic Shockproof Phone Cases for iPhone 14 13 12 11 Pro Max Mini XR XS X 8 7 Plus
------
https://t.co/LWhSwwSsLW

#iOS16 #iOS16TH #iPhone #iPhone14 #iPhone14Pro #iPhone14ProMax #iPhone14Plus #iPhone13 #iphone13mini #iPhone13ProMax #iPhone12 https://t.co/5BqjJs0zVm","[{'text': 'iOS16', 'indices': [151, 157]}, {'text': 'iOS16TH', 'indices': [158, 166]}, {'text': 'iPhone', 'indices': [167, 174]}, {'text': 'iPhone14', 'indices': [175, 184]}, {'text': 'iPhone14Pro', 'indices': [185, 197]}, {'text': 'iPhone14ProMax', 'indices': [198, 213]}, {'text': 'iPhone14Plus', 'indices': [214, 227]}, {'text': 'iPhone13', 'indices': [228, 237]}, {'text': 'iphone13mini', 'indices': [238, 251]}, {'text': 'iPhone13ProMax', 'indices': [252, 267]}, {'text': 'iPhone12', 'indices': [268, 277]}]",0,1,2022-04-30 12:28:21+00:00,147,413
819,SteinPhone,2022-09-13 08:04:36+00:00,"Stop !!! Don’t buy the iPhone 14
https://t.co/2hXzxpXYkX

#iPhone14 #iPhone #iPhone14Plus #iphone14pro #Apple #AppleEvent https://t.co/gCCKV2gDLF","[{'text': 'iPhone14', 'indices': [58, 67]}, {'text': 'iPhone', 'indices': [68, 75]}, {'text': 'iPhone14Plus', 'indices': [76, 89]}, {'text': 'iphone14pro', 'indices': [90, 102]}, {'text': 'Apple', 'indices': [103, 109]}, {'text': 'AppleEvent', 'indices': [110, 121]}]",0,0,2020-02-16 11:08:18+00:00,40,80
