top_words,iphone14_count,iphone14pro_count
want,189,0
cute,165,0
wondershare,163,0
create,162,0
meditation,160,0
save,98,0
protect,98,0
protector,90,0
best,84,40
like,65,60
dynamic,41,137
upgrade,40,0
surprising,33,0
good,31,29
love,28,22
preorder,0,38
blessingceo,0,34
😍,0,34
order,0,27
officialblessingceo,0,27
amazing,0,23
😊🫶🏼,0,19
ordered,0,18
great,0,16
finally,0,16
